"PaymentID","OfferID","BankID","PaymentMode"
"595","18108","16",NULL
"596","18109","16",NULL
"597","18112","16",NULL
"598","18140","15",NULL
"599","18157","15",NULL
"600","18168","15",NULL
"601","18169","15",NULL
"602","18170","15",NULL
"603","18172","15",NULL
"604","18177","15",NULL
"605","18179","15",NULL
"606","18180","15",NULL
"607","18182","15",NULL
"608","18183","15",NULL
"609","18184","15",NULL
"610","18185","9",NULL
"611","18187","16",NULL
"612","18189","16",NULL
"613","18190","16",NULL
"614","18191","16",NULL
"615","18192","16",NULL
"616","18193","16",NULL
"617","18194","16",NULL
"618","18195","16",NULL
"619","18196","16",NULL
"620","18197","16",NULL
"621","18198","16",NULL
"622","18199","16",NULL
"623","18200","16",NULL
"624","18201","16",NULL
"625","18202","16",NULL
"626","18243","5",NULL
"627","18290","16",NULL
"628","18291","16",NULL
"629","18292","16",NULL
"630","18293","16",NULL
"631","18294","16",NULL
"632","18295","16",NULL
"633","18296","16",NULL
"634","18297","16",NULL
"635","18298","16",NULL
"636","18299","16",NULL
"637","18300","16",NULL
"638","18301","16",NULL
"639","18313","5",NULL
"640","18403","16",NULL
"641","18427","12",NULL
"642","18430","16",NULL
"643","18431","16",NULL
"644","18432","16",NULL
"645","18433","16",NULL
"646","18435","16",NULL
"647","18436","16",NULL
"648","18438","16",NULL
"649","18439","16",NULL
"650","18440","16",NULL
"651","18447","4",NULL
"652","18449","6",NULL
"653","18451","16",NULL
"654","18452","4",NULL
"655","18464","15",NULL
"656","18472","15",NULL
"657","14660","6",NULL
"658","18508","9",NULL
"659","18509","6",NULL
"660","18510","7",NULL
"661","18511","4",NULL
"662","18520","16",NULL
"663","18521","16",NULL
"664","18522","16",NULL
"665","18523","16",NULL
"666","18567","16",NULL
"667","18567","17",NULL
"668","18652","16",NULL
"669","18653","16",NULL
"670","18654","16",NULL
"671","18656","16",NULL
"672","18658","16",NULL
"673","18659","16",NULL
"674","18660","16",NULL
"675","18661","16",NULL
"676","18662","16",NULL
"677","18663","16",NULL
"678","18685","16",NULL
"679","18687","16",NULL
"680","18688","16",NULL
"681","18689","16",NULL
"682","18727","15",NULL
"683","18786","16",NULL
"684","18787","16",NULL
"685","18788","16",NULL
"686","18789","16",NULL
"687","18790","16",NULL
"688","18791","16",NULL
"689","18792","16",NULL
"690","18793","16",NULL
"691","18794","19",NULL
"692","18795","10",NULL
"693","18848","15",NULL
"694","18849","15",NULL
"695","18872","16",NULL
"696","18873","16",NULL
"697","18874","16",NULL
"698","18875","16",NULL
"699","18876","16",NULL
"700","18877","16",NULL
"701","18894","18",NULL
"702","18924","5",NULL
"703","18928","6",NULL
"704","18968","6",NULL
"705","18969","9",NULL
"706","18970","4",NULL
"707","18971","8",NULL
"708","18972","5",NULL
"709","18973","13",NULL
"710","18974","14",NULL
"711","18975","6",NULL
"712","18976","7",NULL
"713","18977","4",NULL
"714","18978","9",NULL
"715","18979","8",NULL
"716","18980","14",NULL
"717","18981","5",NULL
"718","18982","13",NULL
"719","18983","7",NULL
"720","18999","15",NULL
"721","17260","16",NULL
"722","15224","24",NULL
"726","14514","11",NULL
"728","13873","16",NULL
"729","16359","24",NULL
"730","14376","24",NULL
"731","14374","24",NULL
"732","14375","24",NULL
"733","14373","24",NULL
"734","17737","16",NULL
"735","18560","16",NULL
"736","19065","18",NULL
"737","19077","5",NULL
"738","19129","5",NULL
"739","19178","6",NULL
"740","19234","16",NULL
"741","19239","16",NULL
"742","19240","16",NULL
"743","19241","16",NULL
"744","19242","16",NULL
"745","19243","16",NULL
"746","19245","16",NULL
"747","19246","16",NULL
"748","19247","16",NULL
"749","19248","16",NULL
"750","19249","16",NULL
"751","19250","16",NULL
"752","19251","16",NULL
"753","19252","16",NULL
"754","19253","16",NULL
"755","19254","16",NULL
"756","19255","16",NULL
"757","19256","16",NULL
"758","19257","16",NULL
"759","19258","16",NULL
"760","19259","16",NULL
"761","19313","15",NULL
"762","19314","15",NULL
"763","19315","16",NULL
"764","19355","16",NULL
"765","19356","16",NULL
"766","15254","16",NULL
"767","16365","15",NULL
"768","15196","24",NULL
"769","13839","13",NULL
"770","15244","27",NULL
"771","15242","22",NULL
"772","15228","29",NULL
"773","15226","22",NULL
"774","16822","34",NULL
"775","15012","36",NULL
"776","15793","37",NULL
"777","14383","22",NULL
"778","19382","16",NULL
"779","19383","16",NULL
"780","19418","16",NULL
"781","19419","16",NULL
"782","19420","16",NULL
"783","19421","16",NULL
"784","19422","16",NULL
"785","19423","16",NULL
"786","19443","16",NULL
"787","19444","16",NULL
"788","19445","16",NULL
"789","19446","16",NULL
"790","19447","16",NULL
"791","19448","16",NULL
"792","19449","16",NULL
"793","19450","16",NULL
"794","19451","16",NULL
"795","19452","16",NULL
"796","19453","16",NULL
"797","19454","16",NULL
