"ShopID","ShopName","Address","Landmark","Area","City","Pincode","Latitude","Longitude","State","StartTime","EndTime","OpenMonday","OpenTuesday","OpenWednesday","OpenThursday","OpenFriday","OpenSaturday","OpenSunday","CheckOpen","StorePhoneAreaCode","StorePhoneNumber","MerchantID","ShopAddDate","MallFlag","ShopActive","ShopSource","ShopSourceValue","ShopAddedBy","ShopEditedBy","ShopLastEdited"
"2275","Chungwa","M 34, M Block Market, Greater Kailash (GK) 2",,"Hauz Khas","New Delhi",,"28.5227906","77.1814972","New Delhi","12 Noon to 12 Midnight",,"1","1","1","1","1","1","1","1",,"011-29213477","2175","2015-01-06",,"Y","Data Upload","Bootlegger","Monish",,"0000-00-00 00:00:00"
"2276","RPM","40, Basant Lok, Vasant Vihar, ",,"Vasant Vihar","New Delhi",,"28.5609020","77.1678490","New Delhi","12 Noon to 1 AM",,"1","1","1","1","1","1","1","1",,"011-26152525","2176","2015-01-06",,"Y","Data Upload","Bootlegger","Monish",,"0000-00-00 00:00:00"
"2277","Nagalands Kitchen","S2, Uphaar Cinema Complex, Green Park Extension Market",,"Green Park Extension Market","New Delhi",,"28.6139391","77.2090212","New Delhi","12 Noon to 12 Midnight",,"1","1","1","1","1","1","1","1",,"011-46088968","2177","2015-01-06",,"Y","Data Upload","Bootlegger","Monish",,"0000-00-00 00:00:00"
"2278","Chi Kitchen & Bar","G 70, Ground Floor, Select Citywalk Mall, Saket",,"Saket","New Delhi",,"28.5245787","77.2066150","New Delhi","12 Noon to 11:30 PM",,"1","1","1","1","1","1","1","1",,"9958934433","2178","2015-01-06",,"Y","Data Upload","Bootlegger","Monish",,"0000-00-00 00:00:00"
"2279","T C Bar & Restaurant","81, Adchini, Sri Aurobindo Marg",,"Qutab Enclave","New Delhi",,"28.5358304","77.1973270","New Delhi","12 Noon to 12.30 AM",,"1","1","1","1","1","1","1","1",,"9810708296","2179","2015-01-06",,"Y","Data Upload","Bootlegger","Monish",,"0000-00-00 00:00:00"
"2280","1440","Hotel Vikram, Ring Road, Lajpat Nagar 4",,"Lajpat Nagar IV","New Delhi",,"28.5648654","77.2412344","New Delhi","24 Hours",,"1","1","1","1","1","1","1","1",,"9873234732","2180","2015-01-06",,"Y","Data Upload","Bootlegger","Monish",,"0000-00-00 00:00:00"
"2281","Mocha Arthouse","167, Ground Floor, DLF Promenade Mall, Vasant Kunj",,"Vasant Vihar","New Delhi",,"28.5273352","77.1515453","New Delhi","11 AM to 1 AM",,"1","1","1","1","1","1","1","1",,"011-46075630","2181","2015-01-06",,"Y","Data Upload","Bootlegger","Monish",,"0000-00-00 00:00:00"
"2282","Lotus Pond","K 185, Surai Jullena, New Friends Colony",,"New Friends Colony","New Delhi",,"28.5600653","77.2717642","New Delhi","12:30 PM to 3:15 PM, 7:30 PM to 11:30 PM",,"1","1","1","1","1","1","1","1",,"9818999722","2182","2015-01-06",,"Y","Data Upload","Bootlegger","Monish",,"0000-00-00 00:00:00"
"2283","TGI Fridays  Saket","314 - 316, 2nd Floor, DLF Place Mall, Saket",,"Saket","New Delhi",,"28.5245787","77.2066150","New Delhi","12 Noon to 12 Midnight",,"1","1","1","1","1","1","1","1",,"011-46102741","2183","2015-01-06",,"Y","Data Upload","Bootlegger","Monish",,"0000-00-00 00:00:00"
"2284","TGI Fridays  Vasant Kunj","302 - 304, 2nd Floor, DLF Promenade, Vasant Kunj",,"Mehrauli","New Delhi",,"28.5194700","77.1743796","New Delhi","12 Noon to 12 Midnight",,"1","1","1","1","1","1","1","1",,"011-46060956","2184","2015-01-06",,"Y","Data Upload","Bootlegger","Monish",,"0000-00-00 00:00:00"
